Year;TotalConsumption;Population;MedianAge;IlleteracyRate;Inflation;Unemployment;MinimumWage;PercentageOfUnderprivilaged;OverallHappiness;GLA;ShoppingMall;UrbanPopulation
2002;238,3990828;67,803927;24,8;12,7;29,8;10,3;250;30,3;57,2;1,76;60;64,9
2003;324,0157512;68,303652;25,2;12;9,5;10,5;306;23,8;59,6;2,03;81;65,8
2004;398,5592462;68,803377;25,6;11,3;9;10,8;423;20,9;58,1;2,18;93;66,7
2005;465,4017589;69,303102;26;10,6;7,5;9,7;489;16,4;57,6;2,42;106;67,6
2006;534,8492058;69,802827;26,4;9,9;9,3;8,9;531;13,3;57,8;2,82;133;68,5
2007;601,2386069;70,586256;28,3;8,1;8,1;9,2;585;8,4;60,2;3,91;166;70,5
2008;663,9442516;71,5171;28,5;7,7;9,7;12;638;6,8;55,8;4,91;210;75
2009;680,768339;72,561312;28,8;7,1;6,4;11,9;693;4,4;54,3;5,67;236;75,5
2010;787,7527852;73,722988;29,2;6;6,3;10;730;3,7;61,2;6,5;263;76,3
2011;923,8361919;74,724269;29,7;4,7;10,1;8,5;837;2,8;62,1;7,6;298;76,8
2012;994,3957543;75,627384;30,1;4,1;6;8,8;1021;2,3;61;8,3;310;77,3
2013;1109,384591;76,667864;30,4;4;7,2;9,1;1134;2,1;59,7;10,7;353;91,3
